"TrueMean","PriorMean","BiasStrength","Hyperbole","ExtermityBias","FaB","BeliefMean","BeliefVar","BeliefMeanError","BeliefVarError","BeliefMeanMSE","BeliefVarMSE"
-1,-1,0.1,1,0,0,-0.999,0.965,0.001,-0.035,0,0.001
-1,-1,0.1,1,0,1,-0.32,1.051,0.68,0.051,0.462,0.003
-1,-1,0.1,1,1,0,-1.637,0.829,-0.637,-0.171,0.406,0.029
-1,-1,0.1,1,1,1,-0.208,1.597,0.792,0.597,0.628,0.357
-1,-1,0.1,2,0,0,-1.996,1.849,-0.996,0.849,0.992,0.721
-1,-1,0.1,2,0,1,-0.633,2.039,0.367,1.039,0.135,1.079
-1,-1,0.1,2,1,0,-2.595,1.743,-1.595,0.743,2.544,0.553
-1,-1,0.1,2,1,1,-0.505,2.522,0.495,1.522,0.245,2.315
-1,-1,1,1,0,0,-1.001,0.603,-0.001,-0.397,0,0.157
-1,-1,1,1,0,1,-0.068,0.614,0.932,-0.386,0.868,0.149
-1,-1,1,1,1,0,-1.63,0.441,-0.63,-0.559,0.397,0.312
-1,-1,1,1,1,1,-1.474,0.491,-0.474,-0.509,0.225,0.259
-1,-1,1,2,0,0,-1.583,0.744,-0.583,-0.256,0.339,0.066
-1,-1,1,2,0,1,-0.006,0.693,0.994,-0.307,0.988,0.094
-1,-1,1,2,1,0,-2.239,0.655,-1.239,-0.345,1.534,0.119
-1,-1,1,2,1,1,-1.934,0.648,-0.934,-0.352,0.872,0.124
-1,0,0.1,1,0,0,-0.997,0.964,0.003,-0.036,0,0.001
-1,0,0.1,1,0,1,-0.32,1.052,0.68,0.052,0.463,0.003
-1,0,0.1,1,1,0,-1.636,0.829,-0.636,-0.171,0.404,0.029
-1,0,0.1,1,1,1,-0.205,1.599,0.795,0.599,0.633,0.359
-1,0,0.1,2,0,0,-1.994,1.852,-0.994,0.852,0.989,0.725
-1,0,0.1,2,0,1,-0.625,2.038,0.375,1.038,0.141,1.078
-1,0,0.1,2,1,0,-2.596,1.744,-1.596,0.744,2.546,0.554
-1,0,0.1,2,1,1,-0.494,2.52,0.506,1.52,0.256,2.31
-1,0,1,1,0,0,-0.913,0.606,0.087,-0.394,0.008,0.155
-1,0,1,1,0,1,0.056,0.567,1.056,-0.433,1.115,0.188
-1,0,1,1,1,0,-1.614,0.442,-0.614,-0.558,0.378,0.311
