"TrueMean","Bias","BiasStrength","Hyperbole","ExtermityBias","FaB","BeliefMean","BeliefVar","BeliefMeanError","BeliefVarError","BeliefMeanMSE","BeliefVarMSE"
-1,-1,0.1,1,0,0,-1.016,0.985,-0.016,-0.015,0,0
-1,-1,0.1,1,0,1,-0.314,1.045,0.686,0.045,0.471,0.002
-1,-1,0.1,1,1,0,-1.623,0.831,-0.623,-0.169,0.388,0.028
-1,-1,0.1,1,1,1,-0.229,1.607,0.771,0.607,0.594,0.368
-1,-1,0.1,2,0,0,-1.988,1.885,-0.988,0.885,0.976,0.784
-1,-1,0.1,2,0,1,-0.575,1.991,0.425,0.991,0.181,0.982
-1,-1,0.1,2,1,0,-2.563,1.741,-1.563,0.741,2.444,0.548
-1,-1,0.1,2,1,1,-0.514,2.549,0.486,1.549,0.236,2.399
-1,-1,1,1,0,0,-1.009,0.605,-0.009,-0.395,0,0.156
-1,-1,1,1,0,1,0.071,0.576,1.071,-0.424,1.147,0.18
-1,-1,1,1,1,0,-1.629,0.439,-0.629,-0.561,0.395,0.315
-1,-1,1,1,1,1,-1.608,0.503,-0.608,-0.497,0.369,0.247
-1,-1,1,2,0,0,-1.884,0.747,-0.884,-0.253,0.782,0.064
-1,-1,1,2,0,1,0.444,0.603,1.444,-0.397,2.086,0.157
-1,-1,1,2,1,0,-2.435,0.677,-1.435,-0.323,2.06,0.105
-1,-1,1,2,1,1,1.58,0.479,2.58,-0.521,6.656,0.271
-1,0,0.1,1,0,0,-0.987,0.956,0.013,-0.044,0,0.002
-1,0,0.1,1,0,1,-0.328,1.029,0.672,0.029,0.451,0.001
-1,0,0.1,1,1,0,-1.647,0.838,-0.647,-0.162,0.418,0.026
-1,0,0.1,1,1,1,-0.167,1.601,0.833,0.601,0.694,0.361
-1,0,0.1,2,0,0,-1.975,1.852,-0.975,0.852,0.95,0.725
-1,0,0.1,2,0,1,-0.662,2.046,0.338,1.046,0.114,1.093
-1,0,0.1,2,1,0,-2.609,1.732,-1.609,0.732,2.59,0.536
-1,0,0.1,2,1,1,-0.486,2.535,0.514,1.535,0.265,2.356
-1,0,1,1,0,0,-0.971,0.599,0.029,-0.401,0.001,0.161
-1,0,1,1,0,1,0.067,0.555,1.067,-0.445,1.138,0.198
-1,0,1,1,1,0,-1.637,0.438,-0.637,-0.562,0.406,0.315
-1,0,1,1,1,1,1.253,0.361,2.253,-0.639,5.076,0.409
-1,0,1,2,0,0,-1.905,0.726,-0.905,-0.274,0.819,0.075
-1,0,1,2,0,1,0.48,0.595,1.48,-0.405,2.192,0.164
-1,0,1,2,1,0,-2.374,0.659,-1.374,-0.341,1.889,0.116
-1,0,1,2,1,1,1.606,0.478,2.606,-0.522,6.789,0.273
