"TrueMean","Bias","BiasStrength","Hyperbole","ExtermityBias","FaB","BeliefMean","BeliefVar","BeliefMeanError","BeliefVarError","BeliefMeanMSE","BeliefVarMSE"
-1,-1,0.1,1,0,0,-0.993,0.966,0.007,-0.034,0,0.001
-1,-1,0.1,1,0,1,-0.306,1.047,0.694,0.047,0.482,0.002
-1,-1,0.1,1,1,0,-1.651,0.818,-0.651,-0.182,0.424,0.033
-1,-1,0.1,1,1,1,-0.221,1.604,0.779,0.604,0.607,0.365
-1,-1,0.1,2,0,0,-1.961,1.842,-0.961,0.842,0.924,0.709
-1,-1,0.1,2,0,1,-0.618,2.064,0.382,1.064,0.146,1.131
-1,-1,0.1,2,1,0,-2.589,1.783,-1.589,0.783,2.525,0.613
-1,-1,0.1,2,1,1,-0.515,2.544,0.485,1.544,0.235,2.385
-1,-1,1,1,0,0,-0.962,0.592,0.038,-0.408,0.001,0.166
-1,-1,1,1,0,1,0.013,0.623,1.013,-0.377,1.027,0.142
-1,-1,1,1,1,0,-1.66,0.447,-0.66,-0.553,0.435,0.306
-1,-1,1,1,1,1,-1.606,0.487,-0.606,-0.513,0.368,0.263
-1,-1,1,2,0,0,-1.941,0.759,-0.941,-0.241,0.885,0.058
-1,-1,1,2,0,1,0.424,0.623,1.424,-0.377,2.028,0.142
-1,-1,1,2,1,0,-2.586,0.681,-1.586,-0.319,2.514,0.102
-1,-1,1,2,1,1,-2.335,0.664,-1.335,-0.336,1.782,0.113
-1,0,0.1,1,0,0,-0.989,0.96,0.011,-0.04,0,0.002
-1,0,0.1,1,0,1,-0.317,1.061,0.683,0.061,0.466,0.004
-1,0,0.1,1,1,0,-1.646,0.804,-0.646,-0.196,0.418,0.039
-1,0,0.1,1,1,1,-0.206,1.588,0.794,0.588,0.631,0.346
-1,0,0.1,2,0,0,-2.016,1.838,-1.016,0.838,1.033,0.703
-1,0,0.1,2,0,1,-0.648,2.022,0.352,1.022,0.124,1.044
-1,0,0.1,2,1,0,-2.582,1.755,-1.582,0.755,2.503,0.571
-1,0,0.1,2,1,1,-0.588,2.519,0.412,1.519,0.17,2.308
-1,0,1,1,0,0,-0.959,0.61,0.041,-0.39,0.002,0.152
-1,0,1,1,0,1,0.077,0.563,1.077,-0.437,1.16,0.191
-1,0,1,1,1,0,-1.656,0.438,-0.656,-0.562,0.43,0.316
-1,0,1,1,1,1,1.238,0.427,2.238,-0.573,5.007,0.328
-1,0,1,2,0,0,-1.913,0.749,-0.913,-0.251,0.834,0.063
-1,0,1,2,0,1,0.431,0.595,1.431,-0.405,2.048,0.164
-1,0,1,2,1,0,-2.415,0.679,-1.415,-0.321,2.001,0.103
