"TrueMean","Bias","BiasStrength","Hyperbole","ExtermityBias","FaB","BeliefMean","BeliefVar","BeliefMeanError","BeliefVarError","BeliefMeanMSE","BeliefVarMSE"
-1,-1,0.1,1,0,0,-0.996,0.964,0.004,-0.036,0,0.001
-1,-1,0.1,1,0,1,-0.312,1.054,0.688,0.054,0.474,0.003
-1,-1,0.1,1,1,0,-1.635,0.833,-0.635,-0.167,0.403,0.028
-1,-1,0.1,1,1,1,-0.195,1.595,0.805,0.595,0.647,0.354
-1,-1,0.1,2,0,0,-2.009,1.856,-1.009,0.856,1.018,0.733
-1,-1,0.1,2,0,1,-0.653,2.05,0.347,1.05,0.12,1.103
-1,-1,0.1,2,1,0,-2.608,1.754,-1.608,0.754,2.586,0.568
-1,-1,0.1,2,1,1,-0.506,2.529,0.494,1.529,0.244,2.338
-1,-1,1,1,0,0,-1.003,0.604,-0.003,-0.396,0,0.157
-1,-1,1,1,0,1,0.059,0.568,1.059,-0.432,1.121,0.187
-1,-1,1,1,1,0,-1.638,0.442,-0.638,-0.558,0.407,0.311
-1,-1,1,1,1,1,-1.603,0.492,-0.603,-0.508,0.364,0.258
-1,-1,1,2,0,0,-1.988,0.742,-0.988,-0.258,0.977,0.067
-1,-1,1,2,0,1,0.438,0.606,1.438,-0.394,2.067,0.155
-1,-1,1,2,1,0,-2.406,0.679,-1.406,-0.321,1.977,0.103
-1,-1,1,2,1,1,1.587,0.478,2.587,-0.522,6.694,0.273
-1,0,0.1,1,0,0,-0.998,0.965,0.002,-0.035,0,0.001
-1,0,0.1,1,0,1,-0.324,1.049,0.676,0.049,0.457,0.002
-1,0,0.1,1,1,0,-1.64,0.831,-0.64,-0.169,0.41,0.029
-1,0,0.1,1,1,1,-0.21,1.603,0.79,0.603,0.623,0.364
-1,0,0.1,2,0,0,-2.008,1.849,-1.008,0.849,1.015,0.72
-1,0,0.1,2,0,1,-0.636,2.034,0.364,1.034,0.133,1.068
-1,0,0.1,2,1,0,-2.607,1.747,-1.607,0.747,2.584,0.558
-1,0,0.1,2,1,1,-0.499,2.527,0.501,1.527,0.251,2.332
-1,0,1,1,0,0,-1.006,0.604,-0.006,-0.396,0,0.157
-1,0,1,1,0,1,0.056,0.569,1.056,-0.431,1.116,0.186
-1,0,1,1,1,0,-1.64,0.441,-0.64,-0.559,0.41,0.312
-1,0,1,1,1,1,1.256,0.348,2.256,-0.652,5.087,0.425
-1,0,1,2,0,0,-2.023,0.744,-1.023,-0.256,1.047,0.066
-1,0,1,2,0,1,0.471,0.597,1.471,-0.403,2.165,0.162
-1,0,1,2,1,0,-2.421,0.668,-1.421,-0.332,2.02,0.11
-1,0,1,2,1,1,1.587,0.471,2.587,-0.529,6.694,0.279
-1,1,0.1,1,0,0,-1,0.959,0,-0.041,0,0.002
-1,1,0.1,1,0,1,-0.319,1.054,0.681,0.054,0.464,0.003
-1,1,0.1,1,1,0,-1.636,0.836,-0.636,-0.164,0.404,0.027
-1,1,0.1,1,1,1,-0.205,1.597,0.795,0.597,0.632,0.357
-1,1,0.1,2,0,0,-2.007,1.851,-1.007,0.851,1.015,0.724
-1,1,0.1,2,0,1,-0.633,2.046,0.367,1.046,0.134,1.095
-1,1,0.1,2,1,0,-2.593,1.739,-1.593,0.739,2.538,0.547
-1,1,0.1,2,1,1,-0.494,2.525,0.506,1.525,0.256,2.326
