"TrueMean","Bias","BiasStrength","Hyperbole","ExtermityBias","FaB","BeliefMean","BeliefVar","BeliefMeanError","BeliefVarError","BeliefMeanMSE","BeliefVarMSE"
-1,-1,0.1,1,0,0,-1,0.963,0,-0.037,0,0.001
-1,-1,0.1,1,0,1,-0.323,1.054,0.677,0.054,0.458,0.003
-1,-1,0.1,1,1,0,-1.635,0.832,-0.635,-0.168,0.404,0.028
-1,-1,0.1,1,1,1,-0.205,1.598,0.795,0.598,0.632,0.357
-1,-1,0.1,2,0,0,-2,1.857,-1,0.857,0.999,0.735
-1,-1,0.1,2,0,1,-0.619,2.042,0.381,1.042,0.145,1.086
-1,-1,0.1,2,1,0,-2.603,1.746,-1.603,0.746,2.57,0.556
-1,-1,0.1,2,1,1,-0.51,2.524,0.49,1.524,0.24,2.323
-1,-1,1,1,0,0,-0.996,0.604,0.004,-0.396,0,0.157
-1,-1,1,1,0,1,0.065,0.566,1.065,-0.434,1.135,0.188
-1,-1,1,1,1,0,-1.64,0.44,-0.64,-0.56,0.41,0.314
-1,-1,1,1,1,1,0.166,0.46,1.166,-0.54,1.359,0.291
-1,-1,1,2,0,0,-1.945,0.741,-0.945,-0.259,0.894,0.067
-1,-1,1,2,0,1,0.466,0.606,1.466,-0.394,2.149,0.155
-1,-1,1,2,1,0,-2.441,0.678,-1.441,-0.322,2.075,0.104
-1,-1,1,2,1,1,-2.458,0.683,-1.458,-0.317,2.124,0.101
-1,0,0.1,1,0,0,-1.002,0.967,-0.002,-0.033,0,0.001
-1,0,0.1,1,0,1,-0.323,1.058,0.677,0.058,0.459,0.003
-1,0,0.1,1,1,0,-1.638,0.829,-0.638,-0.171,0.407,0.029
-1,0,0.1,1,1,1,-0.203,1.601,0.797,0.601,0.634,0.361
-1,0,0.1,2,0,0,-1.998,1.858,-0.998,0.858,0.996,0.736
-1,0,0.1,2,0,1,-0.615,2.04,0.385,1.04,0.148,1.083
-1,0,0.1,2,1,0,-2.604,1.755,-1.604,0.755,2.572,0.57
-1,0,0.1,2,1,1,-0.496,2.53,0.504,1.53,0.254,2.34
-1,0,1,1,0,0,-1,0.599,0,-0.401,0,0.161
-1,0,1,1,0,1,0.067,0.558,1.067,-0.442,1.139,0.195
-1,0,1,1,1,0,-1.642,0.441,-0.642,-0.559,0.412,0.312
-1,0,1,1,1,1,0.255,0.366,1.255,-0.634,1.575,0.402
-1,0,1,2,0,0,-2.013,0.74,-1.013,-0.26,1.026,0.067
-1,0,1,2,0,1,0.468,0.599,1.468,-0.401,2.156,0.161
-1,0,1,2,1,0,-2.439,0.673,-1.439,-0.327,2.071,0.107
-1,0,1,2,1,1,1.592,0.47,2.592,-0.53,6.716,0.281
-1,1,0.1,1,0,0,-1,0.963,0,-0.037,0,0.001
-1,1,0.1,1,0,1,-0.323,1.058,0.677,0.058,0.458,0.003
-1,1,0.1,1,1,0,-1.639,0.833,-0.639,-0.167,0.408,0.028
-1,1,0.1,1,1,1,-0.209,1.598,0.791,0.598,0.625,0.358
-1,1,0.1,2,0,0,-2,1.851,-1,0.851,1,0.724
-1,1,0.1,2,0,1,-0.627,2.036,0.373,1.036,0.139,1.073
-1,1,0.1,2,1,0,-2.602,1.746,-1.602,0.746,2.567,0.557
-1,1,0.1,2,1,1,-0.488,2.528,0.512,1.528,0.262,2.334
-1,1,1,1,0,0,-0.996,0.605,0.004,-0.395,0,0.156
-1,1,1,1,0,1,0.069,0.56,1.069,-0.44,1.142,0.194
-1,1,1,1,1,0,-1.643,0.442,-0.643,-0.558,0.414,0.312
-1,1,1,1,1,1,1.257,0.358,2.257,-0.642,5.095,0.412
-1,1,1,2,0,0,-1.975,0.743,-0.975,-0.257,0.951,0.066
-1,1,1,2,0,1,0.462,0.599,1.462,-0.401,2.138,0.161
-1,1,1,2,1,0,-2.173,0.654,-1.173,-0.346,1.376,0.12
-1,1,1,2,1,1,1.583,0.468,2.583,-0.532,6.67,0.283
0,-1,0.1,1,0,0,0.004,0.965,0.004,-0.035,0,0.001
0,-1,0.1,1,0,1,0.002,0.966,0.002,-0.034,0,0.001
0,-1,0.1,1,1,0,0.001,1.532,0.001,0.532,0,0.283
0,-1,0.1,1,1,1,0.004,1.531,0.004,0.531,0,0.282
0,-1,0.1,2,0,0,0.007,1.856,0.007,0.856,0,0.733
0,-1,0.1,2,0,1,-0.001,1.854,-0.001,0.854,0,0.729
0,-1,0.1,2,1,0,0,2.354,0,1.354,0,1.832
0,-1,0.1,2,1,1,0,2.357,0,1.357,0,1.842
0,-1,1,1,0,0,-0.001,0.601,-0.001,-0.399,0,0.159
0,-1,1,1,0,1,-0.007,0.601,-0.007,-0.399,0,0.159
0,-1,1,1,1,0,0.891,0.423,0.891,-0.577,0.794,0.333
0,-1,1,1,1,1,-1.372,0.421,-1.372,-0.579,1.881,0.335
