"TrueMean","PriorMean","BiasStrength","Hyperbole","ExtermityBias","FaB","BeliefMean","BeliefVar","BeliefMeanError","BeliefVarError","BeliefMeanMSE","BeliefVarMSE"
-1,-1,0.1,1,0,0,-1.001,0.966,-0.001,-0.034,0,0.001
-1,-1,0.1,1,0,1,-0.32,1.054,0.68,0.054,0.463,0.003
-1,-1,0.1,1,1,0,-1.636,0.83,-0.636,-0.17,0.404,0.029
-1,-1,0.1,1,1,1,-0.209,1.6,0.791,0.6,0.626,0.36
-1,-1,0.1,2,0,0,-1.998,1.853,-0.998,0.853,0.996,0.728
-1,-1,0.1,2,0,1,-0.63,2.042,0.37,1.042,0.137,1.085
-1,-1,0.1,2,1,0,-2.599,1.747,-1.599,0.747,2.558,0.558
-1,-1,0.1,2,1,1,-0.506,2.527,0.494,1.527,0.244,2.331
-1,-1,1,1,0,0,-1,0.604,0,-0.396,0,0.157
-1,-1,1,1,0,1,-0.074,0.615,0.926,-0.385,0.857,0.148
-1,-1,1,1,1,0,-1.632,0.44,-0.632,-0.56,0.4,0.313
-1,-1,1,1,1,1,-1.481,0.49,-0.481,-0.51,0.231,0.26
-1,-1,1,2,0,0,-1.583,0.743,-0.583,-0.257,0.34,0.066
-1,-1,1,2,0,1,-0.018,0.696,0.982,-0.304,0.964,0.092
-1,-1,1,2,1,0,-2.243,0.655,-1.243,-0.345,1.545,0.119
-1,-1,1,2,1,1,-1.957,0.65,-0.957,-0.35,0.916,0.122
-1,0,0.1,1,0,0,-0.998,0.965,0.002,-0.035,0,0.001
-1,0,0.1,1,0,1,-0.319,1.054,0.681,0.054,0.463,0.003
-1,0,0.1,1,1,0,-1.635,0.831,-0.635,-0.169,0.403,0.029
-1,0,0.1,1,1,1,-0.205,1.6,0.795,0.6,0.631,0.36
-1,0,0.1,2,0,0,-1.993,1.852,-0.993,0.852,0.987,0.726
-1,0,0.1,2,0,1,-0.625,2.04,0.375,1.04,0.14,1.081
-1,0,0.1,2,1,0,-2.591,1.75,-1.591,0.75,2.532,0.562
-1,0,0.1,2,1,1,-0.494,2.527,0.506,1.527,0.256,2.332
-1,0,1,1,0,0,-0.913,0.606,0.087,-0.394,0.008,0.155
