"TrueMean","PriorMean","BiasStrength","Hyperbole","ExtermityBias","FaB","BeliefMean","BeliefVar","BeliefMeanError","BeliefVarError","BeliefMeanMSE","BeliefVarMSE"
-1,-1,0.1,1,0,0,-1.002,0.966,-0.002,-0.034,0,0.001
-1,-1,0.1,1,0,1,-0.324,1.054,0.676,0.054,0.458,0.003
-1,-1,0.1,1,1,0,-1.636,0.83,-0.636,-0.17,0.405,0.029
-1,-1,0.1,1,1,1,-0.207,1.599,0.793,0.599,0.629,0.359
-1,-1,0.1,2,0,0,-1.998,1.853,-0.998,0.853,0.997,0.728
-1,-1,0.1,2,0,1,-0.631,2.042,0.369,1.042,0.136,1.086
-1,-1,0.1,2,1,0,-2.6,1.746,-1.6,0.746,2.56,0.556
-1,-1,0.1,2,1,1,-0.505,2.528,0.495,1.528,0.245,2.334
-1,-1,1,1,0,0,-1.004,0.603,-0.004,-0.397,0,0.158
-1,-1,1,1,0,1,-0.064,0.613,0.936,-0.387,0.875,0.15
-1,-1,1,1,1,0,-1.629,0.439,-0.629,-0.561,0.396,0.314
-1,-1,1,1,1,1,-1.48,0.492,-0.48,-0.508,0.231,0.258
-1,-1,1,2,0,0,-1.58,0.744,-0.58,-0.256,0.337,0.065
-1,-1,1,2,0,1,-0.034,0.7,0.966,-0.3,0.934,0.09
-1,-1,1,2,1,0,-2.233,0.654,-1.233,-0.346,1.52,0.12
-1,-1,1,2,1,1,-1.998,0.651,-0.998,-0.349,0.996,0.122
-1,0,0.1,1,0,0,-1,0.967,0,-0.033,0,0.001
-1,0,0.1,1,0,1,-0.318,1.054,0.682,0.054,0.465,0.003
-1,0,0.1,1,1,0,-1.636,0.828,-0.636,-0.172,0.405,0.03
-1,0,0.1,1,1,1,-0.207,1.6,0.793,0.6,0.628,0.36
-1,0,0.1,2,0,0,-1.996,1.855,-0.996,0.855,0.992,0.73
-1,0,0.1,2,0,1,-0.629,2.038,0.371,1.038,0.138,1.078
-1,0,0.1,2,1,0,-2.593,1.75,-1.593,0.75,2.538,0.562
-1,0,0.1,2,1,1,-0.501,2.526,0.499,1.526,0.249,2.328
-1,0,1,1,0,0,-0.907,0.606,0.093,-0.394,0.009,0.155
-1,0,1,1,0,1,0.055,0.567,1.055,-0.433,1.113,0.188
-1,0,1,1,1,0,-1.615,0.442,-0.615,-0.558,0.378,0.311
-1,0,1,1,1,1,0.284,0.411,1.284,-0.589,1.649,0.346
-1,0,1,2,0,0,-1.189,0.755,-0.189,-0.245,0.036,0.06
-1,0,1,2,0,1,0.418,0.607,1.418,-0.393,2.01,0.154
-1,0,1,2,1,0,-1.723,0.648,-0.723,-0.352,0.522,0.124
-1,0,1,2,1,1,0.647,0.516,1.647,-0.484,2.713,0.235
-1,1,0.1,1,0,0,-0.995,0.966,0.005,-0.034,0,0.001
-1,1,0.1,1,0,1,-0.319,1.055,0.681,0.055,0.464,0.003
-1,1,0.1,1,1,0,-1.632,0.834,-0.632,-0.166,0.399,0.027
-1,1,0.1,1,1,1,-0.203,1.601,0.797,0.601,0.636,0.361
-1,1,0.1,2,0,0,-1.996,1.855,-0.996,0.855,0.992,0.731
-1,1,0.1,2,0,1,-0.624,2.04,0.376,1.04,0.141,1.082
-1,1,0.1,2,1,0,-2.593,1.751,-1.593,0.751,2.538,0.565
-1,1,0.1,2,1,1,-0.485,2.525,0.515,1.525,0.265,2.326
-1,1,1,1,0,0,-0.831,0.615,0.169,-0.385,0.029,0.148
-1,1,1,1,0,1,0.106,0.551,1.106,-0.449,1.223,0.201
-1,1,1,1,1,0,-1.516,0.516,-0.516,-0.484,0.267,0.235
-1,1,1,1,1,1,1.215,0.357,2.215,-0.643,4.906,0.413
-1,1,1,2,0,0,-0.805,0.77,0.195,-0.23,0.038,0.053
-1,1,1,2,0,1,0.508,0.597,1.508,-0.403,2.273,0.162
-1,1,1,2,1,0,0.88,0.61,1.88,-0.39,3.533,0.152
-1,1,1,2,1,1,1.558,0.467,2.558,-0.533,6.546,0.284
0,-1,0.1,1,0,0,-0.003,0.966,-0.003,-0.034,0,0.001
0,-1,0.1,1,0,1,-0.001,0.966,-0.001,-0.034,0,0.001
0,-1,0.1,1,1,0,0,1.531,0,0.531,0,0.282
0,-1,0.1,1,1,1,0.001,1.532,0.001,0.532,0,0.283
0,-1,0.1,2,0,0,-0.004,1.855,-0.004,0.855,0,0.731
0,-1,0.1,2,0,1,-0.004,1.855,-0.004,0.855,0,0.731
0,-1,0.1,2,1,0,-0.011,2.357,-0.011,1.357,0,1.841
0,-1,0.1,2,1,1,-0.006,2.355,-0.006,1.355,0,1.837
0,-1,1,1,0,0,-0.092,0.607,-0.092,-0.393,0.008,0.155
0,-1,1,1,0,1,-0.088,0.606,-0.088,-0.394,0.008,0.156
0,-1,1,1,1,0,-1.311,0.425,-1.311,-0.575,1.719,0.331
0,-1,1,1,1,1,-1.306,0.425,-1.306,-0.575,1.707,0.331
0,-1,1,2,0,0,-0.421,0.745,-0.421,-0.255,0.178,0.065
0,-1,1,2,0,1,-0.404,0.744,-0.404,-0.256,0.164,0.065
0,-1,1,2,1,0,-1.75,0.558,-1.75,-0.442,3.062,0.196
0,-1,1,2,1,1,-1.73,0.558,-1.73,-0.442,2.993,0.196
0,0,0.1,1,0,0,0,0.965,0,-0.035,0,0.001
0,0,0.1,1,0,1,0,0.965,0,-0.035,0,0.001
0,0,0.1,1,1,0,-0.003,1.532,-0.003,0.532,0,0.283
0,0,0.1,1,1,1,0,1.531,0,0.531,0,0.282
0,0,0.1,2,0,0,0.003,1.854,0.003,0.854,0,0.728
0,0,0.1,2,0,1,0.001,1.854,0.001,0.854,0,0.729
0,0,0.1,2,1,0,-0.003,2.356,-0.003,1.356,0,1.838
0,0,0.1,2,1,1,-0.003,2.357,-0.003,1.357,0,1.842
0,0,1,1,0,0,-0.009,0.602,-0.009,-0.398,0,0.158
0,0,1,1,0,1,-0.004,0.603,-0.004,-0.397,0,0.158
0,0,1,1,1,0,0.012,0.434,0.012,-0.566,0,0.32
0,0,1,1,1,1,-0.054,0.434,-0.054,-0.566,0.003,0.321
0,0,1,2,0,0,-0.013,0.741,-0.013,-0.259,0,0.067
0,0,1,2,0,1,0.01,0.74,0.01,-0.26,0,0.068
0,0,1,2,1,0,0.115,0.559,0.115,-0.441,0.013,0.195
0,0,1,2,1,1,-0.029,0.559,-0.029,-0.441,0.001,0.194
0,1,0.1,1,0,0,0.001,0.965,0.001,-0.035,0,0.001
0,1,0.1,1,0,1,0.002,0.965,0.002,-0.035,0,0.001
0,1,0.1,1,1,0,0.005,1.531,0.005,0.531,0,0.282
0,1,0.1,1,1,1,0.002,1.531,0.002,0.531,0,0.282
0,1,0.1,2,0,0,0.004,1.854,0.004,0.854,0,0.729
0,1,0.1,2,0,1,0.003,1.855,0.003,0.855,0,0.731
0,1,0.1,2,1,0,0.002,2.357,0.002,1.357,0,1.841
0,1,0.1,2,1,1,0.002,2.357,0.002,1.357,0,1.842
0,1,1,1,0,0,0.091,0.606,0.091,-0.394,0.008,0.155
0,1,1,1,0,1,0.083,0.606,0.083,-0.394,0.007,0.155
0,1,1,1,1,0,1.298,0.424,1.298,-0.576,1.684,0.332
