"TrueMean","Bias","BiasStrength","Hyperbole","ExtermityBias","FaB","BeliefMean","BeliefVar","BeliefMeanError","BeliefVarError","BeliefMeanMSE","BeliefVarMSE"
-1,-1,0.1,1,0,0,-1.001,0.965,-0.001,-0.035,0,0.001
-1,-1,0.1,1,0,1,-0.318,1.053,0.682,0.053,0.464,0.003
-1,-1,0.1,1,1,0,-1.635,0.834,-0.635,-0.166,0.404,0.028
-1,-1,0.1,1,1,1,-0.202,1.6,0.798,0.6,0.637,0.36
-1,-1,0.1,2,0,0,-1.995,1.854,-0.995,0.854,0.991,0.729
-1,-1,0.1,2,0,1,-0.629,2.04,0.371,1.04,0.137,1.082
-1,-1,0.1,2,1,0,-2.603,1.749,-1.603,0.749,2.57,0.562
-1,-1,0.1,2,1,1,-0.498,2.529,0.502,1.529,0.252,2.338
-1,-1,1,1,0,0,-1.003,0.603,-0.003,-0.397,0,0.158
-1,-1,1,1,0,1,0.061,0.565,1.061,-0.435,1.125,0.189
-1,-1,1,1,1,0,-1.642,0.442,-0.642,-0.558,0.412,0.311
-1,-1,1,1,1,1,-1.61,0.493,-0.61,-0.507,0.372,0.257
-1,-1,1,2,0,0,-2.027,0.74,-1.027,-0.26,1.055,0.067
-1,-1,1,2,0,1,0.468,0.6,1.468,-0.4,2.154,0.16
-1,-1,1,2,1,0,-2.449,0.677,-1.449,-0.323,2.099,0.104
-1,-1,1,2,1,1,-2.456,0.682,-1.456,-0.318,2.121,0.101
-1,0,0.1,1,0,0,-1.001,0.964,-0.001,-0.036,0,0.001
-1,0,0.1,1,0,1,-0.319,1.054,0.681,0.054,0.464,0.003
-1,0,0.1,1,1,0,-1.636,0.831,-0.636,-0.169,0.405,0.028
-1,0,0.1,1,1,1,-0.203,1.6,0.797,0.6,0.636,0.36
-1,0,0.1,2,0,0,-1.999,1.857,-0.999,0.857,0.998,0.735
-1,0,0.1,2,0,1,-0.628,2.038,0.372,1.038,0.139,1.077
-1,0,0.1,2,1,0,-2.606,1.748,-1.606,0.748,2.578,0.559
-1,0,0.1,2,1,1,-0.497,2.525,0.503,1.525,0.253,2.324
-1,0,1,1,0,0,-1.001,0.603,-0.001,-0.397,0,0.158
-1,0,1,1,0,1,0.06,0.564,1.06,-0.436,1.124,0.19
-1,0,1,1,1,0,-1.643,0.442,-0.643,-0.558,0.413,0.311
-1,0,1,1,1,1,-0.233,0.452,0.767,-0.548,0.589,0.3
-1,0,1,2,0,0,-2,0.74,-1,-0.26,0.999,0.068
-1,0,1,2,0,1,0.47,0.599,1.47,-0.401,2.16,0.161
-1,0,1,2,1,0,-2.46,0.681,-1.46,-0.319,2.13,0.102
-1,0,1,2,1,1,1.589,0.467,2.589,-0.533,6.701,0.284
-1,1,0.1,1,0,0,-0.999,0.967,0.001,-0.033,0,0.001
-1,1,0.1,1,0,1,-0.322,1.053,0.678,0.053,0.46,0.003
-1,1,0.1,1,1,0,-1.637,0.831,-0.637,-0.169,0.406,0.029
-1,1,0.1,1,1,1,-0.207,1.598,0.793,0.598,0.628,0.358
-1,1,0.1,2,0,0,-1.999,1.855,-0.999,0.855,0.997,0.732
-1,1,0.1,2,0,1,-0.631,2.044,0.369,1.044,0.136,1.09
-1,1,0.1,2,1,0,-2.603,1.746,-1.603,0.746,2.569,0.557
-1,1,0.1,2,1,1,-0.503,2.528,0.497,1.528,0.247,2.335
-1,1,1,1,0,0,-1.003,0.603,-0.003,-0.397,0,0.157
-1,1,1,1,0,1,0.061,0.565,1.061,-0.435,1.127,0.19
-1,1,1,1,1,0,-1.64,0.441,-0.64,-0.559,0.41,0.312
-1,1,1,1,1,1,0.457,0.368,1.457,-0.632,2.124,0.4
-1,1,1,2,0,0,-1.998,0.742,-0.998,-0.258,0.996,0.067
-1,1,1,2,0,1,0.463,0.6,1.463,-0.4,2.141,0.16
-1,1,1,2,1,0,-2.434,0.677,-1.434,-0.323,2.055,0.105
-1,1,1,2,1,1,1.589,0.47,2.589,-0.53,6.702,0.281
0,-1,0.1,1,0,0,-0.001,0.966,-0.001,-0.034,0,0.001
0,-1,0.1,1,0,1,0.002,0.966,0.002,-0.034,0,0.001
0,-1,0.1,1,1,0,0.002,1.532,0.002,0.532,0,0.283
0,-1,0.1,1,1,1,0,1.532,0,0.532,0,0.283
0,-1,0.1,2,0,0,-0.002,1.849,-0.002,0.849,0,0.721
0,-1,0.1,2,0,1,0.004,1.852,0.004,0.852,0,0.725
0,-1,0.1,2,1,0,-0.001,2.36,-0.001,1.36,0,1.848
0,-1,0.1,2,1,1,0.003,2.36,0.003,1.36,0,1.85
0,-1,1,1,0,0,0.005,0.603,0.005,-0.397,0,0.158
0,-1,1,1,0,1,0.002,0.603,0.002,-0.397,0,0.157
0,-1,1,1,1,0,-1.189,0.42,-1.189,-0.58,1.415,0.337
0,-1,1,1,1,1,-1.044,0.421,-1.044,-0.579,1.091,0.335
0,-1,1,2,0,0,0.03,0.74,0.03,-0.26,0.001,0.068
0,-1,1,2,0,1,0.022,0.741,0.022,-0.259,0,0.067
0,-1,1,2,1,0,-1.841,0.564,-1.841,-0.436,3.389,0.19
0,-1,1,2,1,1,-1.846,0.566,-1.846,-0.434,3.407,0.188
0,0,0.1,1,0,0,0,0.965,0,-0.035,0,0.001
0,0,0.1,1,0,1,-0.001,0.967,-0.001,-0.033,0,0.001
0,0,0.1,1,1,0,-0.003,1.531,-0.003,0.531,0,0.282
0,0,0.1,1,1,1,0.003,1.531,0.003,0.531,0,0.282
0,0,0.1,2,0,0,0,1.857,0,0.857,0,0.734
0,0,0.1,2,0,1,0.002,1.854,0.002,0.854,0,0.729
0,0,0.1,2,1,0,-0.001,2.358,-0.001,1.358,0,1.845
0,0,0.1,2,1,1,0.001,2.357,0.001,1.357,0,1.841
0,0,1,1,0,0,0.002,0.603,0.002,-0.397,0,0.158
0,0,1,1,0,1,-0.005,0.602,-0.005,-0.398,0,0.158
0,0,1,1,1,0,1.208,0.421,1.208,-0.579,1.458,0.335
0,0,1,1,1,1,-0.356,0.422,-0.356,-0.578,0.126,0.334
0,0,1,2,0,0,-0.003,0.74,-0.003,-0.26,0,0.067
0,0,1,2,0,1,-0.016,0.742,-0.016,-0.258,0,0.066
0,0,1,2,1,0,-1.844,0.565,-1.844,-0.435,3.402,0.189
0,0,1,2,1,1,-1.846,0.565,-1.846,-0.435,3.41,0.189
0,1,0.1,1,0,0,0.002,0.966,0.002,-0.034,0,0.001
0,1,0.1,1,0,1,0,0.965,0,-0.035,0,0.001
0,1,0.1,1,1,0,-0.002,1.531,-0.002,0.531,0,0.281
0,1,0.1,1,1,1,0,1.532,0,0.532,0,0.283
0,1,0.1,2,0,0,0.001,1.854,0.001,0.854,0,0.73
0,1,0.1,2,0,1,0,1.855,0,0.855,0,0.73
0,1,0.1,2,1,0,-0.002,2.359,-0.002,1.359,0,1.848
0,1,0.1,2,1,1,-0.001,2.355,-0.001,1.355,0,1.837
0,1,1,1,0,0,-0.003,0.603,-0.003,-0.397,0,0.157
0,1,1,1,0,1,-0.002,0.604,-0.002,-0.396,0,0.157
