"TrueMean","Bias","BiasStrength","Hyperbole","ExtermityBias","FaB","BeliefMean","BeliefVar","BeliefMeanError","BeliefVarError","BeliefMeanMSE","BeliefVarMSE"
-1,-1,0.1,1,0,0,-0.999,0.965,0.001,-0.035,0,0.001
-1,-1,0.1,1,0,1,-0.324,1.052,0.676,0.052,0.456,0.003
-1,-1,0.1,1,1,0,-1.637,0.835,-0.637,-0.165,0.406,0.027
-1,-1,0.1,1,1,1,-0.196,1.599,0.804,0.599,0.647,0.359
-1,-1,0.1,2,0,0,-2.001,1.843,-1.001,0.843,1.002,0.711
-1,-1,0.1,2,0,1,-0.645,2.057,0.355,1.057,0.126,1.117
-1,-1,0.1,2,1,0,-2.608,1.745,-1.608,0.745,2.587,0.555
-1,-1,0.1,2,1,1,-0.494,2.54,0.506,1.54,0.256,2.372
-1,-1,1,1,0,0,-0.989,0.603,0.011,-0.397,0,0.158
-1,-1,1,1,0,1,0.067,0.558,1.067,-0.442,1.139,0.195
-1,-1,1,1,1,0,-1.646,0.443,-0.646,-0.557,0.418,0.311
-1,-1,1,1,1,1,-1.607,0.493,-0.607,-0.507,0.368,0.257
-1,-1,1,2,0,0,-1.946,0.747,-0.946,-0.253,0.895,0.064
-1,-1,1,2,0,1,0.462,0.6,1.462,-0.4,2.137,0.16
-1,-1,1,2,1,0,-2.442,0.678,-1.442,-0.322,2.08,0.104
-1,-1,1,2,1,1,-2.369,0.667,-1.369,-0.333,1.873,0.111
-1,0,0.1,1,0,0,-1.006,0.968,-0.006,-0.032,0,0.001
-1,0,0.1,1,0,1,-0.318,1.053,0.682,0.053,0.466,0.003
-1,0,0.1,1,1,0,-1.638,0.82,-0.638,-0.18,0.407,0.032
-1,0,0.1,1,1,1,-0.199,1.603,0.801,0.603,0.641,0.363
-1,0,0.1,2,0,0,-2.008,1.851,-1.008,0.851,1.016,0.725
-1,0,0.1,2,0,1,-0.633,2.044,0.367,1.044,0.135,1.091
-1,0,0.1,2,1,0,-2.594,1.751,-1.594,0.751,2.541,0.564
-1,0,0.1,2,1,1,-0.489,2.533,0.511,1.533,0.261,2.349
-1,0,1,1,0,0,-1.022,0.605,-0.022,-0.395,0,0.156
-1,0,1,1,0,1,0.072,0.556,1.072,-0.444,1.149,0.197
-1,0,1,1,1,0,-1.642,0.442,-0.642,-0.558,0.412,0.311
-1,0,1,1,1,1,0.117,0.463,1.117,-0.537,1.247,0.289
-1,0,1,2,0,0,-1.848,0.746,-0.848,-0.254,0.72,0.065
-1,0,1,2,0,1,0.475,0.599,1.475,-0.401,2.176,0.161
-1,0,1,2,1,0,-2.383,0.669,-1.383,-0.331,1.913,0.109
-1,0,1,2,1,1,-2.406,0.675,-1.406,-0.325,1.975,0.106
-1,1,0.1,1,0,0,-0.994,0.966,0.006,-0.034,0,0.001
-1,1,0.1,1,0,1,-0.321,1.057,0.679,0.057,0.461,0.003
-1,1,0.1,1,1,0,-1.635,0.827,-0.635,-0.173,0.403,0.03
-1,1,0.1,1,1,1,-0.206,1.599,0.794,0.599,0.63,0.358
-1,1,0.1,2,0,0,-1.997,1.855,-0.997,0.855,0.993,0.731
-1,1,0.1,2,0,1,-0.62,2.046,0.38,1.046,0.144,1.095
-1,1,0.1,2,1,0,-2.598,1.746,-1.598,0.746,2.554,0.557
-1,1,0.1,2,1,1,-0.499,2.524,0.501,1.524,0.251,2.321
-1,1,1,1,0,0,-0.967,0.603,0.033,-0.397,0.001,0.158
-1,1,1,1,0,1,0.071,0.557,1.071,-0.443,1.147,0.197
-1,1,1,1,1,0,-1.637,0.441,-0.637,-0.559,0.405,0.312
-1,1,1,1,1,1,1.258,0.345,2.258,-0.655,5.099,0.429
-1,1,1,2,0,0,-1.841,0.75,-0.841,-0.25,0.707,0.062
-1,1,1,2,0,1,0.475,0.595,1.475,-0.405,2.174,0.164
-1,1,1,2,1,0,-2.373,0.664,-1.373,-0.336,1.886,0.113
-1,1,1,2,1,1,1.59,0.468,2.59,-0.532,6.707,0.283
0,-1,0.1,1,0,0,0,0.964,0,-0.036,0,0.001
0,-1,0.1,1,0,1,-0.001,0.965,-0.001,-0.035,0,0.001
0,-1,0.1,1,1,0,-0.009,1.531,-0.009,0.531,0,0.282
0,-1,0.1,1,1,1,-0.004,1.537,-0.004,0.537,0,0.288
0,-1,0.1,2,0,0,-0.006,1.855,-0.006,0.855,0,0.731
0,-1,0.1,2,0,1,-0.01,1.856,-0.01,0.856,0,0.732
0,-1,0.1,2,1,0,0.008,2.36,0.008,1.36,0,1.848
0,-1,0.1,2,1,1,-0.005,2.368,-0.005,1.368,0,1.871
