"TrueMean","Bias","BiasStrength","Hyperbole","ExtermityBias","FaB","BeliefMean","BeliefVar","BeliefMeanError","BeliefVarError","BeliefMeanMSE","BeliefVarMSE"
-1,-1,0.1,1,0,0,-0.998,0.967,0.002,-0.033,0,0.001
-1,-1,0.1,1,0,1,-0.316,1.05,0.684,0.05,0.467,0.002
-1,-1,0.1,1,1,0,-1.642,0.819,-0.642,-0.181,0.413,0.033
-1,-1,0.1,1,1,1,-0.2,1.599,0.8,0.599,0.641,0.358
-1,-1,0.1,2,0,0,-2.004,1.856,-1.004,0.856,1.007,0.732
-1,-1,0.1,2,0,1,-0.624,2.034,0.376,1.034,0.141,1.07
-1,-1,0.1,2,1,0,-2.591,1.77,-1.591,0.77,2.53,0.593
-1,-1,0.1,2,1,1,-0.5,2.52,0.5,1.52,0.25,2.31
-1,-1,1,1,0,0,-0.985,0.603,0.015,-0.397,0,0.157
-1,-1,1,1,0,1,0.072,0.559,1.072,-0.441,1.15,0.194
-1,-1,1,1,1,0,-1.642,0.442,-0.642,-0.558,0.412,0.311
-1,-1,1,1,1,1,-1.613,0.493,-0.613,-0.507,0.376,0.257
-1,-1,1,2,0,0,-2.013,0.74,-1.013,-0.26,1.026,0.067
-1,-1,1,2,0,1,0.468,0.609,1.468,-0.391,2.156,0.153
-1,-1,1,2,1,0,-2.377,0.671,-1.377,-0.329,1.896,0.108
-1,-1,1,2,1,1,-2.361,0.677,-1.361,-0.323,1.851,0.104
-1,0,0.1,1,0,0,-0.998,0.963,0.002,-0.037,0,0.001
-1,0,0.1,1,0,1,-0.315,1.053,0.685,0.053,0.469,0.003
-1,0,0.1,1,1,0,-1.633,0.84,-0.633,-0.16,0.401,0.025
-1,0,0.1,1,1,1,-0.201,1.6,0.799,0.6,0.638,0.361
-1,0,0.1,2,0,0,-2.003,1.86,-1.003,0.86,1.005,0.739
-1,0,0.1,2,0,1,-0.622,2.038,0.378,1.038,0.143,1.076
-1,0,0.1,2,1,0,-2.608,1.749,-1.608,0.749,2.585,0.56
-1,0,0.1,2,1,1,-0.505,2.523,0.495,1.523,0.245,2.319
-1,0,1,1,0,0,-1.005,0.604,-0.005,-0.396,0,0.157
-1,0,1,1,0,1,0.065,0.564,1.065,-0.436,1.134,0.19
-1,0,1,1,1,0,-1.64,0.439,-0.64,-0.561,0.41,0.315
