"TrueMean","Bias","BiasStrength","Hyperbole","ExtermityBias","FaB","BeliefMean","BeliefVar","BeliefMeanError","BeliefVarError","BeliefMeanMSE","BeliefVarMSE"
-1,-1,0.1,1,0,0,-1.001,0.964,-0.001,-0.036,0,0.001
-1,-1,0.1,1,0,1,-0.324,1.056,0.676,0.056,0.458,0.003
-1,-1,0.1,1,1,0,-1.637,0.823,-0.637,-0.177,0.406,0.031
-1,-1,0.1,1,1,1,-0.199,1.602,0.801,0.602,0.641,0.363
-1,-1,0.1,2,0,0,-1.993,1.855,-0.993,0.855,0.985,0.732
-1,-1,0.1,2,0,1,-0.637,2.039,0.363,1.039,0.131,1.079
-1,-1,0.1,2,1,0,-2.606,1.748,-1.606,0.748,2.58,0.56
-1,-1,0.1,2,1,1,-0.503,2.53,0.497,1.53,0.247,2.341
-1,-1,1,1,0,0,-0.997,0.604,0.003,-0.396,0,0.157
-1,-1,1,1,0,1,0.045,0.572,1.045,-0.428,1.093,0.183
-1,-1,1,1,1,0,-1.644,0.442,-0.644,-0.558,0.414,0.312
-1,-1,1,1,1,1,-1.609,0.49,-0.609,-0.51,0.371,0.26
-1,-1,1,2,0,0,-1.938,0.739,-0.938,-0.261,0.88,0.068
-1,-1,1,2,0,1,0.47,0.598,1.47,-0.402,2.162,0.161
-1,-1,1,2,1,0,-2.464,0.673,-1.464,-0.327,2.143,0.107
-1,-1,1,2,1,1,-2.474,0.685,-1.474,-0.315,2.171,0.099
-1,0,0.1,1,0,0,-0.998,0.968,0.002,-0.032,0,0.001
-1,0,0.1,1,0,1,-0.316,1.056,0.684,0.056,0.468,0.003
-1,0,0.1,1,1,0,-1.639,0.825,-0.639,-0.175,0.408,0.031
-1,0,0.1,1,1,1,-0.198,1.604,0.802,0.604,0.644,0.365
-1,0,0.1,2,0,0,-2.003,1.855,-1.003,0.855,1.007,0.732
-1,0,0.1,2,0,1,-0.632,2.047,0.368,1.047,0.135,1.096
-1,0,0.1,2,1,0,-2.607,1.762,-1.607,0.762,2.583,0.581
-1,0,0.1,2,1,1,-0.499,2.53,0.501,1.53,0.251,2.34
-1,0,1,1,0,0,-0.985,0.603,0.015,-0.397,0,0.158
-1,0,1,1,0,1,0.057,0.567,1.057,-0.433,1.117,0.187
-1,0,1,1,1,0,-1.644,0.441,-0.644,-0.559,0.415,0.312
-1,0,1,1,1,1,0.684,0.356,1.684,-0.644,2.837,0.415
-1,0,1,2,0,0,-1.955,0.743,-0.955,-0.257,0.911,0.066
-1,0,1,2,0,1,0.461,0.605,1.461,-0.395,2.133,0.156
-1,0,1,2,1,0,-2.442,0.672,-1.442,-0.328,2.079,0.107
